標題,問題,回答
 糖尿病的問題?(有修改問題內容),"你好! 我最近去驗糖化血色素,報告是5% (沒有驗飯前和飯後血糖) 我想請問我是否正式得到糖尿病,以前驗糖化血色素是1%(相差一個月多驗的)(更久 以前驗糖化血色素都多左右). 有沒有說驗糖化血色素要隔多久時間驗?(主要是要驗有沒有糖尿病,如果須要第二次驗證) 我下一次驗糖化血色素是12月中左右,如果驗出低於5%(包括不等於5%),就正常的話,就是說沒有得到糖尿病? 診斷糖尿病是以一次驗出糖化血色素不正常,就得到糖尿病,還是必須要第二次驗出糖化血色素不正常,才是正式得到糖尿病? 驗糖化血色素是否還要再次驗飯前和飯後血糖,才能診斷糖尿病,還是糖化血色素就可以了? 糖化血色素參考值是6~6,7~ 目前體重113kg左右。 回覆~~~~~~~~~~~~~~~~~~~~~","一般而言,第2型糖尿病的發生是漸進式的,而且與遺傳,體重,缺乏運動,飲食過量,酗酒與藥物等因素有關.閣下的體重113公斤,其實就是一項罹病危險因子;而且,肥胖的時間愈久,得到糖尿病的機會也就愈大. 糖尿病的診斷標準,幾十年來都有些微的變動;但是,也更貼近病情漸進發展的事實.如果隨機測試的血糖超過200mg/dl,加上多飲,多尿,多渴,體重減輕,傷口不易癒合等症狀;大概就可以診斷為糖尿病.當然,空腹血糖大於126 mg/dl或糖化血色素大於5%,也要考慮是否為糖尿病.另外,耐糖試驗(OGTT),飯後兩小時的血糖值,都可以做為參考.重複試驗的目的,有時是因為診斷的需要,有時是因為避免檢驗誤差或其他干擾因素的影響. 近年來,糖化血色素的檢驗漸漸標準化,也較為可靠;所以,被引用在糖尿病的診斷.它主要反應病人六個禮拜以來血糖的平均值.例如:糖化血色素值5%,表示病人的空腹血糖值約略為126mg/dl.因為紅血球在人體內的平均壽命為90~120天,所以糖尿病病患經常三個月檢驗一次糖化血色素,可以較明顯地看到血糖較長期的變化. 有一些病患,空腹血糖值正常;可是,飯後2小時的血糖值會明顯升高.因此,飯後血糖或耐糖試驗(OGTT)也常被使用來偵測是否為糖尿病或糖尿病的前期狀態;而不是單用空腹血糖值來排除是否為糖尿病. 閣下的糖化血色素值有逐年升高的趨勢;推測:在代謝症候群的道路上,正往糖尿病前進.建議您放慢吃飯的速度,吃八分飽;避免高熱量與高脂的飲食,也要避免市售的飲料(尤其是含有玉米果糖,奶精,反式脂肪等).晚餐不要吃太飽;不過,睡眠一定要充足.此外,建議多散步,多運動.如果能夠嚴格執行,體重應該可以減低,下一次的糖化血色素值也會改善. 的處理,應該是很正確的.建議您持續追蹤,並與之討論為宜"
 糖尿病患者檢查眼睛,想請教關於檢查眼睛的問題。 父親有第二型糖尿病，是固定在彰基看診（每三個月回診一次）以及拿藥（每個月拿一次）。 上一次看診的時候，有要求父親順便到彰基的眼科檢查眼睛， 但是父親卻沒有另外再找一天回去眼科看眼睛的報告， ，像這樣的檢查，開單子要父親去做眼睛的檢查， 那兒呢？ 還是眼科歸眼科，報告不會彙整，必須要另外到眼科看報告呢？ 如果眼睛有狀況的話，會告知嗎？還是要由眼科那邊告知呢？ 謝謝醫生的回覆,"為了早期診斷與治療糖尿病眼底病變,醫學上建議每年至少一次要做眼底與眼科相關的檢查.的檢查應該是合理且必須的. 至於報告如何讀取與告知,或有不同;因此,相關科室詢問為宜"
 有關糖尿病便祕,想請問你，我爸便秘已經很多天了，找不到有甚麼辦法可以緩解，爸爸有高血壓和 血糖過高的問題，爸爸說是吃血糖的要才出現便秘的問題，有甚麼辦法?? 高血壓家血糖的藥有很多顆，可以不靠吃藥改善嗎??,"您好: 令尊便秘問題如果真是因為服用降血糖藥引起, 反應,知道.可更改藥物或給予軟便劑.高血壓可採低鈉飲食改善, 糖尿病需飲食控制及運動, 但是不一定可完全控制,份病人仍需長期使用藥物治療. 請記得若使用藥物後有任何不良反應，幫忙解決,勿自行處理,以免問題惡化. 祝您及家人健康!"
 有關糖尿病的幾個問題,您好： 我想請問關於糖尿病高危險群的問題 我本身是膽結石患者，已經切除膽囊 請問沒有膽囊會提高第二型糖尿病的罹患率嗎？ 我家族的病史中，確診糖尿病的有我家兄(34歲，有「三高」)及外曾祖母兩位 我本身沒有三高，體重及腰圍也在正常範圍(BMI22，腰圍69cm) 膽固醇及三酸甘油脂也都正常 因為哥哥很年輕就有二型糖尿(他本身作息及飲食習慣極度不正常) 身為二等親的我很怕得糖尿病 尤其切除膽囊後整天想東想西 有油的東西都不敢吃了。 謝謝您!,"具有第2型糖尿病家族史,的確較有可能罹患糖尿病.這種看似家族群聚的罹患史,有可能是遺傳所致,也有可能是共同生活所塑造出來相仿的飲食與生活習慣所致.關於第2型糖尿病的發展史,一般是從肥胖--型肥胖或腰圍過大--開始,演變成代謝症候群,包括腰圍過大,血壓升高,三酸甘油酯值偏高,高密度酯蛋白值過低,與空腹血糖值偏高.臨床上會出現葡萄糖耐受不良的現象;最終才會出現多尿,多渴,多食,傷口不易癒合與體重減輕的症狀.因此,第 2 型糖尿病的出現,不是一蹴可及,而是逐漸發展成病的.維持良好的飲食習慣與生活型態,都可以延緩糖尿病的出現,甚至杜絕其發生. 膽汁由肝臟製造,蓄積在膽囊?,當進食的時候--尤其食物內含有大量脂肪物質時--膽囊會收縮,膽汁會分泌到小腸內,進行乳化作用(emulsification),使得油脂可以與水混合,才能吸收.因此,膽囊切除後,膽汁無法蓄積與一次大量釋放,導致短時間內攝取大量的油脂食物,容易發生腹瀉等症狀.目前不認為膽囊切除與第2型糖尿病的發生有直接關係. 第2型糖尿病的預防,的衛教專欄都有,不一一陳述.個人建議: a.放慢用餐的速度,以免胃撐大以後,才覺得吃飽,這時已經攝取過量,體內胰島素會大量分泌,於是又吃更多更飽. b.三餐吃八分飽即可;避免胰島腺的負擔. c.規律的運動,尤其飯後建議散散步約30分鐘.良好的運動習慣,比較不會常有飢餓的感覺. d.晚餐不宜吃太飽,尤其不要吃飽即跑去睡覺. e.晚上要早睡,睡眠要充足;可以促進瘦素的分泌,幫助體重的控制. f.避免反式脂肪的攝取;包括奶精(含於三合一咖啡,二合一咖啡,夾心餅乾,人工奶油等等),酥油,白油等. g.避免玉米果糖的攝取,常含於可樂,市售的甜點,飲料等等. 如果還有疑問,再次討論為宜"
 糖尿病認定標準,請教一下 因為我最近投保保險時 因為據實告知曾有被檢測出HbA1c高達0 之後就一直被拒絕承保 我的疑惑是 我檢測出之後一直維持在0~3之間 且是未服用的狀況下 血糖值則是不穩的狀況120~140之間 請問這可以算是已經罹患糖尿病嗎? 且不可治癒了嗎? 謝謝,一般而言，糖尿病診斷為空腹血糖 126以上或醣化血色素 5% 以上、葡萄糖口服測試2小時血糖200以上。早期糖尿病可以藉由飲食調整或適度運動、減重等達到良好血糖控制，但隨著年紀越大，胰島細胞的功能退化，之後可能慢慢需要加入藥物來控制血糖，但仍需飲食跟運動的配合來達成良好的血糖控制
 糖尿病的疑慮,我有家族尿病史 我爸爸跟外婆 而我媽這邊是只有我奶奶 我在大一的時候學校有過體檢 當時是空腹105 沒有尿糖 我今年用我外婆的糖尿病機自己測的時候是 空腹85 飯後兩小時是 92 請問這種家裡自行量的機器準嗎 做檢測嗎 因為我從來沒做過這事的檢驗? 大家都說有家族病史的要定時檢查 那我用這種機器就好 檢查??,"空腹血糖100至126為空腹葡萄糖耐受不良, 126以上才為糖尿病. 一般以抽血的報告為準也較準確. 指間血糖的數值亦可參考。 空腹葡萄糖耐受不良須注意飲食並建議規則運動, 以後成為糖尿病的機率較一般人高, 進一步確定"
 第一型糖尿病能服口服避孕藥嗎?,"我是第一型糖尿病患者,因近期要出遊玩水怕遇到經期來,所以去看婦產科開延經的藥,開給我祈麗安錠成分有 Gestodene 075mg Ethinylestradiol 03mg 那我能服用嗎?",有關延經的藥品會內含荷爾蒙(Hormone) 會影響血糖 一般不建議使用 親自問診 進行判斷 感謝您的來信
 糖尿病的再次檢驗,我想請問關於糖尿病的問題。 抽血檢驗，醫生告知有糖尿病，(抽血報告是寫飯前200) 隨即開始打針吃藥， 頭一個月爸爸自己驗血糖發現忽高忽低，飯前大約在100~130左右， 告知醫生之後，醫生加重藥量及打針的劑量(由10增為12)， 所以第二個月自己驗血糖，飯前的數值降為70~100左右。 現在的困擾在於，是臨時被抽血，沒有忌口， 被醫生告知有糖尿病，爸爸十分錯愕，也不太願意相信。 現在第三個月，爸爸不想再吃藥打針， 想要過一陣子去彰基重新抽血檢驗。 我想請教醫生， 如果停止吃藥打針一個月，對於糖尿病的病情發展會不會有嚴重的影響呢？ 基本上家人並不排斥爸爸再次去彰基檢驗，家人也知道應該是有糖尿病，否則怎麼自己在家驗血糖會數據這麼高？ 但是只有這樣子爸爸才會相信也才會心甘情願吃藥， 只是很擔心停一個月的打針吃藥會造成病情急速惡化。 謝謝醫生,有糖尿病的病人若隨便停藥易有高血糖的併發症，嚴重可以導致高血 糖高滲透壓狀態，請勿任意停藥或加藥。 現在都可以驗HbA1c(糖化血色素)，可看出最近三個月的平均血糖，大 於5就是糖尿病，算是很客觀的檢查
 腳跟水泡有黑色塊狀,"家父有心導管裝過支架,有糖尿病控制不好,飯前血糖大約都在250~350之間,目前早晚打胰導素,前兩天右腳跟有水泡兩處,一個約50元硬幣大小,另一個只有一點點又有點黑黑的(我一開始以為是淤青),今天左腳跟又出現象淤青快變成水泡狀(就是有點突起,不平整),本來以為家父不小心自己撞到,但是他說沒有,隔壁有阿公說他老婆以前也是這樣,醫生說是下肢血管塞住才會這樣,糖尿病病人很常見。請問,可能是血管塞住嗎?或其他原因嗎?家父有吃抗凝血的藥,會不會是藥物造成的? 我該看哪一科?糖尿病門診還是外科還是心臟血管科?謝謝",糖尿病患者易有血管硬化阻塞等病變 吃抗凝血藥易引起皮下淤血 看診 詳細診察 是否有無需要再轉診相關科別進行治療
 糖尿病症,您好1以中醫觀點糖尿病是那裡出問題2說我吃藥或打胰島素都可以那種對肝臟腎臟傷害最小,"Dear陳先生／22／0 網友; ， 糖尿病是世界的共同文明病,估計台灣有上百萬人,家族中父母如有人有糖尿病史、或本身肥胖、較大壓力,生活不正常等無形中發作,比較會得糖尿病。 因得糖尿病有吃多、 喝多、 尿多的症狀,有糖尿三多現像,所謂中醫「消渴症」現像. 中醫糖尿病觀點,由於糖尿病的病人消穀善饑,而且體重會下降人會消瘦、小便多而而且有泡沫、容易腰膝痠軟、末稍循環不良手腳冰冷、性功能障礙等腎陽不足現象。個人臨床治療上治療以初期以補腎為主，兼以活血等用藥,多有不錯療效。但糖尿病如果控制不佳，會因為血管病變造成眼睛、神經損傷,長期病程演變下來,五臟六腑多會受損,如腎臟衰竭、心臟擴大等。需依五臟六腑受損情況,辨病及辨症治療。 吃藥或打胰島素使用,指示使用,無論吃藥或打胰島素使用,原則性血糖控制好,則可減輕糖尿病本身控制不好對肝臟腎臟傷害。 建議除西醫藥給藥,辨症配合給藥治療，比較妥適安全且無副作用。糖尿初期中醫認為腎氣不足,需多補腎氣,加上飲食調理，少糖澱粉及甜食,多運動少肥胖,少壓力,睡眠充足。多有良好預防及治療效果。 最後 祝 安好 中醫科 弘光大學護理系(所) 副教授 林慶鐘 博士上"
 糖尿病問題,您好1我目前使用諾和密斯30有知道更好的藥嗎2使用胰島素會有什麼後遺症嗎如造成器官衰竭,"陳先生:您好! 有關您對胰島素使用的疑慮,請教討論比較適宜.祝您健康!"
 糖尿病,糖尿病患有在吃藥可以捐血嗎,請參考衛生署公佈之「捐血者健康標準」： 第四條：捐血者有下列情形之一者，應暫緩捐血。 五、現患、梅毒、活動結核病、「糖尿病」、心臟病、消化道潰瘍出血、高血壓、腎臟、哮喘、感冒、急性感染、傳染病、過敏病症者
 關於糖尿病併發神經病變,"敝姓李，你好： 問題一：最近阿嬤出現手指末端沒感覺的情況，尤其食指、中指及無名指更為嚴重，除了手指麻木沒感覺腳也會麻，分已經持續數年吧！分近幾個月開始，她約有20年左右的高血壓、糖尿病及心臟病，長期拿藥，每個月去一次，我猜想阿嬤最近手指沒感覺的情況是因為糖尿病併發神經病變引起的，她長期服用的藥物其中有cobamamide 250mcg 1顆 QID，另有HydrochloroTHIAzide 50mg 1tab QD, Atenolol 100mg 1tab QD,Nobar 5mg 1tab QD, Uformin 500mg 1tab QD,Liquid Brown Mixture 5c.c. QID, 不知道還有沒有其他方法可以改善阿嬤的情況？ 問題二：剛上述提即長期都在拿藥，是在一般內科，阿嬤血壓的狀況近來不太穩定，近日常測量到1-60mmHg血壓，阿嬤有說頭痛或頭暈情況，尤其最近天氣開始變化，曾經問過醫生能否開PRN血壓藥物給我們，但醫生回答阿嬤藥物已經開太多種無法再開，除非再掛別科，請問一個科別是不是有規定只能開幾種藥物？我是否需要再另外掛別的科別？ 給予寶貴回答～ 另外，不知道貴院是否有可諮詢電話？或其他管道可聯絡？","糖尿病神經病變常見四肢末端麻痛或感覺遲鈍,有如戴手套的狀況,有糖尿病衛教師可先做足底測試,若需進一步檢查可至神經科評估,進一步做神經傳導檢查 。 糖尿病神經病變目前並無有效治療方式,可用含Capsaicin(辣椒素)止痛,或使用止痛藥,三環抗憂鬱藥等減輕疼痛,可至神經科或疼痛科門診評估。 血壓方面,因已含三種降血壓藥物,建議至心臟科門診進一步評估或調整藥物"
